,Model,Specifications,PCA Price Estimate,PCA Price SE,PCA Price Std Estimate,PCA Price Std SE,Plain Logit Price Estimate,Plain Logit Price SE,Average range of elasticity columns,Pass Sign Test?,Max discrepancy of elasticity matrix,N (consumers),J (products),PCA Average range of diversion ratios,Plain Logit Average range of diversion ratios,PCA Average HHI of diversion ratios,Plain Logit Average HHI of diversion ratios
10060201,description_ST_text,price and PC3,-0.02389788,0.02098011,0.14060903,0.03053153,0.00514739,0.0136989,0.4404469186173448,False,0.7338186635849283,1078,15,0.33342757191927824,0.15031409785445413,0.22739982515530008,0.09931733738912905
10060207,user_reviews_USE_text,"PC1, PC2, and PC3",-0.15128505,0.03619157,n/a,n/a,-0.08488727,0.02667445,1.8351190602810645,True,0,913,15,0.3613500921095326,0.20424072410022223,0.24574291219415834,0.11342374742250656
10060215,resnet50_image,PC1 and PC3,-0.00204397378,0.0121836759,n/a,n/a,-0.00378934,0.01093908,0.03261952673258166,True,0,732,15,0.2839667191751607,0.15553822477286117,0.18925639909283556,0.10055906008466245
10110210,user_reviews_ST_text,PC1,-0.07401795,0.02926068,n/a,n/a,-0.0581194,0.02613179,1.1477823529120033,True,0,552,15,0.2859241150228469,0.15201269903861886,0.19360864915844592,0.09998086477583798
10110218,description_USE_text,"PC1, PC2, and PC3",-0.10506723,0.03892414,n/a,n/a,-0.06039798,0.0293268,1.7376118815655344,True,0,333,15,0.3206483102173415,0.17029766970788646,0.21831394293442763,0.11217765187704476
13010204,title_USE_text,PC2 and PC3,0.07118698,0.0199487971,n/a,n/a,0.0237193,0.01510162,0.5353049975449096,False,1.2380357849436288,644,15,0.48048107655350314,0.17089354844946636,0.3583468581910262,0.10538960065031738
13060104,user_reviews_TFIDF_text,price and PC1,-0.036132086,0.0444393768,0.221765777,0.0632806593,-0.02185466,0.03514928,1.4512379570528349,False,4.611091795577538,726,15,0.21227860524596825,0.18965010872459684,0.12311361371262061,0.11123723008240584
13060112,vgg19_image,"price, PC1, PC2, and PC3",-0.10729001,0.03115686,0.10425439,0.0363734,-0.05477025,0.01775243,1.7297480076258605,False,0.36407429927660634,656,15,0.3778354027649733,0.2220837883519147,0.245040906543467,0.1302273838881257
13060114,vgg16_image,price and PC3,-0.86703174,0.21654752,0.14590549,0.0671318,-0.25856813,0.02674978,5.0424732342640555,True,0,969,6,0.7746934463735718,0.42447025657203646,0.6457799409024699,0.31728560376273124
13060404,resnet50_image,"price, PC1, PC2, and PC3",-0.0863993425,0.00779317,0.003515068,0.00512106,-0.03031481,0.00207316,10.82792143575383,True,0,1328,8,0.6718486664444348,0.34472228821000395,0.5520526865600223,0.24996608614784052
13060701,user_reviews_USE_text,PC1 and PC3,-0.14460921,0.0740424254,n/a,n/a,-0.02699908,0.00812529,8.499713933586566,True,0,330,9,0.6397099901060129,0.22688016580560438,0.5097564382660214,0.17145929663866333
13110101,description_COUNT_text,"PC1, PC2, and PC3",-0.0119768845,0.00201791228,n/a,n/a,-0.00919066,0.00191524,0.9532912079742337,True,0,1759,27,0.2406291501594032,0.23109880823230988,0.13336071031855448,0.13181192033388203
13181001,user_reviews_TFIDF_text,"PC1, PC2, and PC3",-0.0673217157,0.00653054635,n/a,n/a,-0.03262715,0.00437521,2.7323228388078724,True,0,2414,13,0.5075331051233987,0.3774310929063779,0.3517289078061687,0.2464168736004818
14020210,description_COUNT_text,"price, PC1, PC2, and PC3",0.0746659258,0.0447652685,0.0283152095,0.0844884171,0.02190875,0.02388509,0.4284336671381141,False,1.1348349956633614,480,14,0.46736797283015763,0.2692796447098887,0.3387863229633428,0.15193108743477984
14020605,vgg16_image,PC1 and PC3,0.00370777004,0.01016537,n/a,n/a,0.000332038144,0.00978455,0.11429542551272516,False,0.1847608980843679,1000,15,0.2380103319707261,0.15439779463996478,0.14320256641639859,0.09835939731772954
14020608,title_ST_text,PC1 and PC3,0.0196248744,0.03867251,n/a,n/a,0.00415989,0.0312638,0.27226477869000537,False,0.7113737739525653,427,15,0.4303283196783576,0.2095975131497034,0.30028920075150517,0.12245719089751948
14180404,user_reviews_ST_text,"price, PC2, and PC3",-0.192729172,0.327488664,0.326604446,0.367157943,-0.02559023,0.07871501,1.379468201066016,False,0,330,7,0.6295377691835113,0.43834573481230016,0.5123290790738965,0.31648306988144714
16030103,title_COUNT_text,PC2 and PC3,0.00407936559,0.0484769433,n/a,n/a,0.00352716,0.02731799,0.036777076765031544,False,0.10128374890699539,699,14,0.5160564501419537,0.22697840198045802,0.38784481864380904,0.13343733422270082
16040408,user_reviews_TFIDF_text,PC1 and PC3,-0.0178865636,0.0379126956,n/a,n/a,0.00857433,0.03237311,0.1727677866039848,True,0,1207,21,0.2798353852586477,0.2987017641896114,0.16935785230994002,0.16154528589502823
16041006,title_ST_text,"PC1, PC2, and PC3",-0.127841598,0.02398382,n/a,n/a,-0.08310439,0.01829564,2.1777304478649397,True,0,827,13,0.3169671317440073,0.16164015293139686,0.21670120296704434,0.11199306160997688
16041007,title_TFIDF_text,"price, PC1, and PC2",0.0744820877,0.08459876,0.484687677,0.23327189,-0.02075472,0.02313328,1.4796452155315514,False,2.524587135524257,532,12,0.612370040653082,0.2864890762159849,0.5042483547250111,0.17485161663593288
17021806,description_USE_text,"price, PC1, PC2, and PC3",-0.0487827498,0.0221937045,0.14377329,0.0341331941,-0.01342443,0.0133583,1.7971593685979448,False,2.67406799317316,864,15,0.3939451599816393,0.20256527176074945,0.2711277906589057,0.12255220528109305
17050304,user_reviews_USE_text,"price, PC1, PC2, and PC3",-0.0390874,0.0166181641,0.04522212,0.0199882835,-0.00991857,0.00307958,1.838097271876522,False,1.165270210450367,306,11,0.475343104979793,0.29582013456210604,0.3313371096133421,0.19562596786628889
17050306,title_USE_text,price and PC2,-0.0134869173,0.00872607414,0.0395361136,0.0173853395,0.000636133999,0.00206059,1.985640793683536,False,0.9887936363089708,286,8,0.5732084318670355,0.40453053152521246,0.4433102043200398,0.26651113201837573
17111205,resnet50_image,"price, PC1, and PC2",-0.49050762,0.15689722,0.55095792,0.21742628,-0.07711473,0.02548559,3.5999020045266894,False,2.5599097088653084,368,14,0.44223609491245436,0.20576249839996819,0.3048500572421985,0.1307237296609751
21010906,title_USE_text,"price, PC2, and PC3",-0.827836995,0.437850661,1.25518708,0.682245011,-0.0723877,0.05145577,,False,0,497,13,0.6255519210051749,0.2525676846280014,0.48578320858259644,0.16209894420427437
21011403,resnet50_image,"price, PC1, and PC3",-0.0273619,0.01698643,0.04947874,0.01629841,0.00154201,0.00588866,0.7194251384133616,False,0.9088054363931795,876,15,0.28337101603877113,0.2608203259966113,0.16582338459632748,0.14889891527599433
21012004,vgg19_image,PC1,-0.18929036,0.06563084,n/a,n/a,-0.11200323,0.03954236,1.4382540391379612,True,0,547,15,0.5402898057957471,0.2143397034144853,0.4126343627209314,0.12552313497461698
21012008,title_ST_text,PC3,-0.072128896,0.0470098053,n/a,n/a,-0.02079112,0.03189227,1.7158969491934033,True,0,518,15,0.4783172157483366,0.16167415388334982,0.3668102059311377,0.10756789764384189
21021101,title_TFIDF_text,"PC1, PC2, and PC3",-0.0495981666,0.0195946664,n/a,n/a,0.000401957952,0.00409486,2.606184515192992,True,0,649,13,0.5126509084682997,0.17097270460793096,0.4013419936079343,0.11541337675548118
23021004,title_ST_text,PC2 and PC3,-0.08061175,0.08573124,n/a,n/a,-0.02409,0.0534656,0.9746331454480325,True,0,414,15,0.37966463127226646,0.1968737773600693,0.26236932914382316,0.11379783309208599
23021309,title_ST_text,"price, PC1, PC2, and PC3",-0.88854292,0.45212256,0.53942558,0.3299325,-0.1655887,0.05918007,7.11616360805195,False,0,283,10,0.5472132482315548,0.27829345372823633,0.42989166442782334,0.1894783183120221
23021802,xception_image,"PC1, PC2, and PC3",-0.35734665,0.13925468,n/a,n/a,-0.09944614,0.06423658,3.012775233669127,True,0,454,13,0.4488264359318878,0.22138361534604173,0.32984529483286723,0.13614975437703558
23031107,title_COUNT_text,"price, PC2, and PC3",-0.69467884,0.64255417,1.37131412,1.20846985,-0.05840319,0.02233818,3.570368067497914,False,0.41032672199861814,282,10,0.4420871653002562,0.25462931090076835,0.3191290523219326,0.19272421582593852
23031904,user_reviews_ST_text,"price, PC1, PC2, and PC3",-0.218564,0.0801288,0.10399163,0.0526557,-0.0386971,0.02127469,1.3223853926726177,False,0,482,15,0.44845472134874026,0.22386974037381754,0.32902706094055617,0.12467520586766714
27040201,title_COUNT_text,PC3,0.13295971,0.06648821,n/a,n/a,0.0156097,0.0144925,10.549392964417738,False,11.688802443459332,286,4,0.9489657973881276,0.3744457491433298,0.9051495452364735,0.414564599095867
27040301,resnet50_image,"price, PC1, PC2, and PC3",0.09138003,0.02166768,0.02611944,0.02960272,0.03221491,0.01160849,3.4292827018799548,False,4.69086999702513,497,13,0.3250176216688652,0.3060179317143642,0.22027135218207455,0.17460878053597761
27060103,vgg19_image,price and PC3,0.07756595,0.0880614,0.73287476,0.56171551,-0.02815029,0.01545589,2.705838160855631,False,3.233297252117388,150,5,0.5447368421052632,0.27241300472758273,0.4349560160806112,0.3023555256376775
27070401,title_TFIDF_text,"price, PC2, and PC3",0.0122818275,0.0160466439,0.135760005,0.0403313893,0.00332785,0.00637554,1.4536808358640305,False,3.1422649977799755,424,14,0.42377106186169505,0.20821916683047248,0.31495235167779967,0.121328236804886
27100401,user_reviews_USE_text,"PC1, PC2, and PC3",0.23987331,0.139167,n/a,n/a,0.00337718,0.00654536,2.123056345957856,False,2.784666058148291,297,7,0.6180063188901207,0.29412776126362417,0.5055901875961445,0.22915949469010613
